IMAGEN,"Stock
anterior",STOCK ACTUAL,Código,Nombre,CATEGORIA,Sub categoria,Marca,PRECIO,
,1,2,00000600,SUPREME CHUCKY DOLL FALL WINTER 2020,ACCESORIO,MUñECO CHUCKY,SUPREME,,
,2,2,00000612,SUPREME TAZAS HELLER - Color Rojo,ACCESORIO,TAZAS,SUPREME,150,
,1,1,00000613,SUPREME ZIPPO - Color Rojo,ACCESORIO,ENCENDEDOR,SUPREME,750,
,1,1,00001002,MOCK NECK TEE - Talla L - Color Fucsia,DISEÑADOR,T-SHIRT,PALM ANGELS,1600,
,1,,00001009,SEASONAL LOGO - Talla XXL - Color Verde Palta,DISEÑADOR,T-SHIRT,PALM ANGELS,1399,
,1,1,00001012,STATEMENT MONOGRAM TEE WHITEE ORANGE - Talla L - Color Blanco,DISEÑADOR,T-SHIRT,PALM ANGELS,1399,
,1,1,00001016,STATEMENT MONOGRAM TEE BLACK GREY - Talla M -Color Negro GrisT,DISEÑADOR,T-SHIRT,PALM ANGELS,1399,
,1,1,00001023,NECK LOGO TEE BLUE GREEN - Talla XL - Color Azul,DISEÑADOR,T-SHIRT,PALM ANGELS,1399,
,1,1,00001026,NECK LOGO REG TEE DARK GREY - Talla M - Color Gris Oscuro,DISEÑADOR,T-SHIRT,PALM ANGELS,1499,
,1,,00001030,DOUBLED LOGO OVER TEE BLACK FUCHSIA - Talla XS - Color Negro Fucsia,DISEÑADOR,T-SHIRT,PALM ANGELS,1399,
,1,1,00001031,DOUBLED LOGO OVER TEE BLACK FUCHSIA - Talla S - Color Negro Fucsia,DISEÑADOR,T-SHIRT,PALM ANGELS,1399,
,1,,00001032,DOUBLED LOGO OVER TEE BLACK FUCHSIA - Talla M - Color Negro Fucsia,DISEÑADOR,T-SHIRT,PALM ANGELS,1399,
,1,,00001035,DOUBLED LOGO OVER TEE BLACK FUCHSIA - Talla XXL - Color Negro Fucsia,DISEÑADOR,T-SHIRT,PALM ANGELS,1399,
,1,1,00001037,CLASSIC LOGO OVER TEE BLACK WHITE - Talla L - Color Negro Blanco,DISEÑADOR,T-SHIRT,PALM ANGELS,1499,
,1,1,00001039,CLASSIC LOGO OVER TEE BLACK WHITE - Talla XXL - Color Negro Blanco,DISEÑADOR,T-SHIRT,PALM ANGELS,1499,
,1,,00001043,PARIS MONOGRAM SPRAY TEE BLACK BLACK - Talla XL - Color Negro Negro,DISEÑADOR,T-SHIRT,PALM ANGELS,1399,
,1,1,00001047,LAS VEGAS MONOGRAM SPRAY T BLACK GOLD - Talla L - Color Negro Dorado,DISEÑADOR,T-SHIRT,PALM ANGELS,1399,
,2,1,00001052,LA MONOGRAM SPRAY TEE WHITE - Talla L - Color Blanco Gris,DISEÑADOR,T-SHIRT,PALM ANGELS,1399,VENDIDO UND 08/03/26
,2,1,00001057,BEAR IN MIND OVER TEE BLACK BROWN- Talla L - Color Negro Oso,DISEÑADOR,T-SHIRT,PALM ANGELS,1599,VENDIDO UND 19/12/25
,1,1,00001061,BEAR IN MIND LOOSE TEE WHITE BROWN - Talla M - Color Blanco Crema,DISEÑADOR,T-SHIRT,PALM ANGELS,1599,
,0,,00001069,CLASSIC LOGO POLO SHIRT BLACK WHITE - Talla XXL - Color Negro Camisero,DISEÑADOR,T-SHIRT,PALM ANGELS,1659,
,1,1,00001073,PALM CONCERT TSHIRT BLACK MULTICOLOR - Talla XL - Color Negro Graphic Print,DISEÑADOR,T-SHIRT,PALM ANGELS,1399,
,1,1,00001076,CRAZY MOUTH TSHIRT - Talla M - Color Negro Graphic Mouth,DISEÑADOR,T-SHIRT,PALM ANGELS,1399,
,1,1,00001082,PARADISE PALM TEE BLACK YELLOW - Talla L - Color Negro Amarillo Acid Wash,DISEÑADOR,T-SHIRT,PALM ANGELS,1399,
,1,1,00001087,RACING TEE SLIM FIT BLACK WHITE RED - Talla L - Color Negro Banderas,DISEÑADOR,T-SHIRT,PALM ANGELS,1399,
,1,1,00001092,PALM CURVED LOGO TEE BLACK GREY - Talla L - Color Gris Oscuro,DISEÑADOR,T-SHIRT,PALM ANGELS,1499,
,1,1,00001096,STAFF CLASICC TEE WHITE BLACK - Talla M - Color blanco Basic Palmera,DISEÑADOR,T-SHIRT,PALM ANGELS,1499,
,1,1,00001102,CLASICC LOGO SLIM TEE WHITE BLACK - Talla L - Color Blanco Perla,DISEÑADOR,T-SHIRT,PALM ANGELS,1499,
,1,1,00001106,CURVED LOGO TEE BLACK BLACK - Talla M - Color Negro Negro,DISEÑADOR,T-SHIRT,PALM ANGELS,1399,
