codigo,nombre,marca,confidence,final_score,imagen_url,candidate_url,reused_from,error
00000600,SUPREME CHUCKY DOLL FALL WINTER 2020,SUPREME,HIGH,76,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00000600.jpg,https://d2cdo4blch85n8.cloudfront.net/wp-content/uploads/2020/09/Supreme-15-inch-Chucky-Doll-image.jpg,,
00000601,SUPREME TY BEANIE BABY MULTICOLOR - Color Azul,SUPREME,HIGH,99,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00000601.webp,https://images.stockx.com/images/Supreme-ty-Beanie-Baby-Multicolor-2.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1661451467?height=78&width=78,,
00000602,TY AMERICA THE BEAR BEANIE BABIES - Color Rojo,TY,MEDIUM,58,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00000602.jpg,https://i5.walmartimages.com/seo/Ty-Beanie-Baby-America-the-Bear-Red-Stuffed-Animal-MWMT_db945ed2-a2c9-4d22-b866-73649e1d45f8.0aa6ffa3071a57c1859178eaa9e2bc5e.jpeg,,
00000603,"KAWS HOLIDAY HONG KONG LIMITED 20"" - Color Gris",KAWS,HIGH,105,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00000603.webp,https://images.stockx.com/images/KAWS-HOLIDAY-Hong-Kong-Limited-20-Plush-Brown.png?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1614784430,,
00000604,KAWS BFF PLUSH - Color Azul,KAWS,MEDIUM,52,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00000604.jpg,https://www.luckycat.gallery/wp-content/uploads/2021/08/KAWS-BFF-Blue-plush-1-1024x1024.jpg,,
00000605,KAWS BFF PLUSH - Color Negro,KAWS,HIGH,0,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00000604.jpg,,KAWS|KAWS BFF PLUSH,
00000606,KAWS X SESAME STREET COOKIE MONSTER - Color Azul,KAWS X SESAME STREET,MEDIUM,60,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00000606.jpg,https://down-ph.img.susercontent.com/file/ph-11134207-7qul5-lgp6rokwru7442,,
00000607,KAWS X SESAME STREET UNIQLO ELMO PLUSH TOY - Color Rojo,KAWS X SESAME STREET,LOW,36,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00000607.jpg,https://cdn.shopify.com/s/files/1/0803/3763/products/417075_sub9_b41db474-446c-4ad1-a97b-ab81707521ee.jpg?v=1571567767,,
00000608,KAWS X SESAME STREET UNIQLO BERT - Color Amarillo,KAWS X SESAME STREET,MEDIUM,60,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00000608.jpg,https://product-images.therealreal.com/KAWSX21220_2_enlarged.jpg,,
00000609,KAWS X SESAME STREET UNIQLO ERNIE - Color Naranja,KAWS X SESAME STREET,MEDIUM,60,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00000609.png,https://n-hype.com/cdn/shop/files/KAWS_Sesame_Street_Uniqlo_Ernie_Plush_Toy_Orange_Front_Lodz_Polska.png?v=1708420767&width=1080,,
